customer_id,age,annual_income,avg_monthly_spend,credit_utilization,loan_amount,loan_term_months,interest_rate,default_status,debt_to_income_ratio,loan_to_income_ratio,age_group,income_band
1,32,211323.41,84772.27432106293,0.3413984663847234,167650.94569958106,12,15.645178001087011,0,4.813793662769094,0.7933382567486539,25-40,Low
2,50,439687.88,58297.68624746627,0.6155757988001126,752125.3546024554,24,11.489036401041893,0,1.5910655416965216,1.7105892357152428,40-60,Medium
3,27,618354.91,91978.5053576855,0.731381484733892,2641749.2500138115,60,11.604831983554703,1,1.784965311090076,4.2722216760821246,25-40,High
4,39,660305.43,33331.81053559614,0.08589730093564785,104670.23458962633,24,10.373305215071028,0,0.6057525930494827,0.15851790676570132,25-40,High
5,57,284006.34,49883.85578608743,0.23801239478131714,1191507.9022600888,12,10.852415106096396,1,2.1077215016856634,4.195356703164052,40-60,Low
6,23,258512.65,71550.01755148135,0.5672903934169037,2310277.616488038,48,13.485107046087055,0,3.3213083020029237,8.93680683126353,<25,Low
7,47,527725.88,71053.57922631512,0.05,396051.6840074523,36,9.176156836904852,0,1.6156928872159566,0.7504875144790175,40-60,Medium
8,41,385482.62,20216.14168345346,0.36673102348670966,1737123.818938291,36,14.93733979539586,0,0.6293246118370824,4.506360932532551,40-60,Medium
9,22,846471.69,83939.8985241534,0.3868723627529675,2041402.8654196355,48,10.983803339542776,0,1.1899733850400134,2.4116611217318273,<25,High
10,46,454268.86,46230.433722428636,0.47290031721947473,1204257.640373945,60,8.309122131253522,0,1.2212265764136765,2.6509799513309034,40-60,Medium
11,58,1029235.035,50163.192620676164,0.99,272971.05290360947,48,12.419132158247248,0,0.5848599114662998,0.26521741256467185,40-60,High
12,46,195425.47,20174.196136011888,0.5428142907844544,1415093.0611454423,48,11.65621810456995,1,1.2387860887945805,7.241088181317626,40-60,Low
13,40,344725.82,98391.89203956515,0.8749463547438939,2043907.3119383212,36,10.757921555197942,1,3.4250486501846074,5.929081006866039,25-40,Low
14,29,428531.84,12488.98928562847,0.344057726821611,2690803.322211085,60,9.062663828710868,0,0.3497240051697013,6.279121108506394,25-40,Medium
15,46,495218.04,17438.35494123448,0.4082546841696927,316474.1759117513,12,11.496345970587653,0,0.42256186647565136,0.6390602731510978,40-60,Medium
16,25,255046.84,42291.94306430379,0.7282440453854002,2647464.783038648,12,8.03763940824587,1,1.9898435784252237,10.38030811531971,<25,Low
17,39,279295.42,65385.21075392725,0.4110469577387362,2146552.1167346924,12,10.591551272219744,1,2.8092925012774184,7.685597267347572,25-40,Low
18,23,390582.28,51327.418021795704,0.3258369979581995,1550374.554586186,12,9.56995342294558,0,1.5769507420089526,3.969392965257374,<25,Medium
19,36,413021.87,88918.101701122,0.5529613035876592,1958355.4660863588,48,14.740865377807332,1,2.5834400014058914,4.741529706614226,25-40,Medium
20,26,397211.33,28067.516606375142,0.5276597722960328,1889156.0383384184,36,8.094528853789468,1,0.8479370396521713,4.756047714798111,25-40,Medium
21,47,739846.62,36951.22902965304,0.9429741191740681,2240720.2877265625,24,15.428405173077714,0,0.5993333433838443,3.028628133391435,40-60,High
22,51,538829.0,33841.93124758531,0.34597890785952373,502024.38296587206,24,8.91922711024747,1,0.7536772797511339,0.9316951815248846,40-60,High
23,32,280704.64,75461.1629817941,0.46058063081163036,1883592.540136559,60,9.394319879349592,1,3.2259315548953134,6.710229443077816,25-40,Low
24,61,794606.51,85440.76030128052,0.5229434478823456,2772124.311218468,60,10.38216447031359,1,1.290310500495857,3.4886755599554147,60+,High
25,23,627579.17,45394.09287644515,0.2227537389843246,2358314.8992034006,48,10.410647865162915,0,0.86798469509009,3.7577966445307616,<25,High
26,30,277093.13,81977.87470820363,0.4266303352415344,2991768.8012475795,48,14.110903405174156,1,3.5501944652992425,10.796979344986212,25-40,Low
27,41,414366.6,64687.33704239118,0.06894598685670289,1914186.9331231667,36,8.842667772977595,0,1.8733364236130376,4.619549290708196,40-60,Medium
28,55,326538.97,87058.08121869492,0.5372460737504705,2257536.9953913046,12,11.975698604173651,1,3.1993025966375135,6.913530092262203,40-60,Low
29,55,1008590.07,97108.86903283185,0.5788813695795574,1334277.6869201416,48,11.72669562512683,1,1.1553816194065665,1.3229137650741907,40-60,High
30,49,368977.34,88997.17098783146,0.4826305557767868,627177.0937635555,12,14.727977378803931,0,2.8943946851965965,1.699771302388259,40-60,Medium
